Name,Год выполнения,Чей опыт,Прогресс,Отрасль,Интервью с Мишей
SOKOLOV: Клиентский опыт,2026,Клиентов,В процессе,Ювелирные изделия,
Банк Точка: Исследование корпоративной культуры,2026,Клиентов,В процессе,Банки,
T2: Опыт сотрудников и бренд работодателя,2026,Сотрудников,В процессе,Телеком,
Магнит: Разработка бренда работодателя (EVP),2026,Сотрудников,В процессе,FMCG,
InAppStory – КСЦ,2026,Клиентов,Завершен,Маркетинг,обсудили
Контур: диагностика треков внутрикарьерного развития экспертов,2025,Сотрудников,Завершен,IT,обсудили
UnicornGo: Культура Создания Ценности,2025,Клиентов,Завершен,Логистика,обсудили
Tutu.ru: Чекап Ценностного Предложения,2025,Клиентов,Завершен,Туризм,обсудили
Maskoholic: Чекап Ценностного Предложения,2025,Клиентов,Завершен,Красота,обсудили
CosmoBeauty: диагностика функции создания ценности,2025,Клиентов,Завершен,Красота,обсудили
Сипуни: бренд работодателя,2025,Сотрудников,Завершен,Телеком,обсудили
Манго Телеком: Культура Создания Ценности,2025,Клиентов,Завершен,IT,обсудили
Яндекс: Опыт водителей такси,2025,Сотрудников,Завершен,IT,обсудили
Перекрёсток: проблемы персонала магазинов,2024,Сотрудников,Завершен,Розница,обсудили
Ланит: исследование пользователей КЭДО,2024,Клиентов,Завершен,IT,обсудили
Яндекс: исследование бренда работодателя,2024,Сотрудников,Завершен,IT,обсудили
Додо Пицца: опыт семей с детьми,2024,Клиентов,Завершен,Horeca,обсудили
X5: CJM пользователя программы лояльности X5 Club,2023,Клиентов,Завершен,Розница,обсудили
Пятёрочка: переход с пластиковых карт на цифровую программу лояльность,2023,Клиентов,Завершен,Розница,обсудили
Страна Девелопмент: опыт покупки квартир,2023,Клиентов,Завершен,Девелопмент,обсудили
РМК Арена: Опыт гостя,2023,Клиентов,Завершен,Спорт,обсудили
МТС: Исследование опыта продуктовых команд,2023,Сотрудников,Завершен,IT,обсудили
Контур: Исследование селлеров маркетплейсов,2023,Клиентов,Завершен,IT,обсудили
ВкусВилл: Гиперсегментация и дизайн-система,2023,Клиентов,Завершен,"FMCG, Grocery, Розница",обсудили
Роза Хутор: Сервисная Стратегия,2023,Клиентов,Завершен,Туризм,обсудили
МТС: Исследование опыта агентов по продажам,2023,Сотрудников,Завершен,Телеком,обсудили
Streets: исследование потребителей фастфуда,2022,Клиентов,,Фастфуд,обсудили
Ланит: исследование последствий ухода западных вендоров,2022,Клиентов,,IT,обсудили
Пятёрочка: тестирование эффективности размещение корзинок в торговых залах,2022,Клиентов,Завершен,Розница,сходить к Серёже
ПИК: Улучшение пути клиента,2022,Клиентов,Завершен,Девелопмент,обсудили
Пятёрочка: исследование опыта директоров магазинов,2022,Сотрудников,Завершен,Розница,сходить к Серёже
Пятёрочка: разработка идеальной тележки,2022,Клиентов,Завершен,"FMCG, Grocery, Розница",обсудили
Пятёрочка: исследование и проектирование систем сбора обратной связи в розничных магазинах,2022,Клиентов,Завершен,Розница,сходить к Серёже
Рольф: исследование опыта покупателей автомобилей сегмента премиум и масс,2022,Клиентов,Завершен,Продажа автомобилей,обсудили
Пятёрочка: исследование опыта пользователей системы управления задачами,2022,Сотрудников,Завершен,Розница,сходить к Серёже
Пятёрочка: исследование механик ОС,2021,Клиентов,,Розница,сходить к Серёже
Разработка концепции Company Builder,2021,Клиентов,Завершен,"Консалтинг, Стартапы",описан
Пятёрочка: исследование опыта продуктовых команд,2021,Сотрудников,Завершен,Розница,сходить к Серёже
Пятёрочка: исследование опыта найма у конкурентов,2021,Сотрудников,Завершен,"FMCG, Розница",обсудили
Мегафон: UX-Исследование Job-портала,2021,Сотрудников,Завершен,"IT, Телеком",обсудили
EuroPharma: разработка концепции дарксторов,2021,Клиентов,Завершен,Grocery,не надо брать
Пятёрочка: исследование опыта пользователей системы управления ресурсами,2021,Сотрудников,Завершен,Розница,сходить к Серёже
Пятёрочка: исследование опыта сотрудников логистики,2021,Сотрудников,Завершен,Розница,обсудили
Сбермаркет: исследование мотивации b2b-клиентов,2021,Клиентов,Завершен,"Grocery, Услуги",обсудили
Пятёрочка: исследование опыта партнёров,2021,Партнёров,Завершен,Розница,сходить к Серёже
Шалаш: исследование для фонда,2020,Клиентов,,Благотворительность,спросить у Саши
Магнит: исследование опыта сотрудников розницы,2020,Сотрудников,Завершен,"FMCG, Grocery, Розница",обсудили
"ФК ""Спартак"": исследование опыта болельщиков, фанатов и спортивных функционеров",2020,Клиентов,Завершен,Спорт,
Floris: исследование потребления чая,2020,Клиентов,Завершен,"FMCG, Производство",смотреть в архивах
СКБ Контур: разработка концепции для Контур.Бухгалтерии,2020,Клиентов,Завершен,IT,обсудили
EuroPharma: разработка концепции сети магазинов у дома,2020,Клиентов,Завершен,"FMCG, Grocery, Розница",описан
Сбермаркет: исследование мотивации b2c-клиентов,2020,Клиентов,Завершен,"Grocery, Услуги",обсудили
"Leroy Merlin: исследование опыта покупателей группы ""отделка стен""",2020,Клиентов,Завершен,"DIY, Розница",описан
SeniorGroup: улучшение опыта потребителей и покупателей гериатрических услуг,2019,Клиентов,Завершен,Медицина,
SDSvet: исследование опыта покупателей световых систем,2019,Клиентов,Завершен,"Освещение, Производство",
NetAngels: исследование опыта клиентов хостинга,2019,Клиентов,Завершен,IT,
DataDarvin: разработка концепции нового продукта,2019,Клиентов,Завершен,"IT, Маркетинг",
Autodesk: исследование опыта покупки САПР,2019,Клиентов,Завершен,"IT, Производство",
Рембот: исследование опыта пользователя,2019,Клиентов,Завершен,"DIY, IT",
"Туристический Кластер ""Гора Белая"": разработка CJM",2019,Клиентов,Завершен,Туризм,
ВкусВилл: концепция новой сети магазинов у дома,2019,Клиентов,Завершен,"FMCG, Grocery, Розница",
МАВТ-Винотека: исследование опыта покупателей,2018,Клиентов,Завершен,"FMCG, Розница",
,,,Завершен,,
