Name,В КП,Год выполнения,Описание,Отрасль,Прогресс,Тип,Аудитория,Сегмент,Продукт
ВкусВилл: Гиперсегментация и дизайн-система,No,2023,Описан,"FMCG, Grocery, Розница",Завершен,Разработка концепции,,,Индивидуальный проект
Пятёрочка: переход с пластиковых карт на цифровую программу лояльность,No,2023,Описан,Розница,Завершен,CX-Исследование,,,Индивидуальный проект
Роза Хутор: Сервисная Стратегия,No,2023,Описан,Туризм,Завершен,"CX-Исследование, Стратегия",,,Индивидуальный проект
Яндекс: Опыт водителей такси,No,2024,Описан,IT,Завершен,EX-Исследование,,,Индивидуальный проект
Додо Пицца: опыт семей с детьми,No,2024,Описан,Horeca,Завершен,CX-Исследование,,,Индивидуальный проект
X5 Club: CJM пользователя программы лояльности,Yes,2023,Описывается,Розница,Завершен,CX-Исследование,,,Индивидуальный проект
Контур: Исследование селлеров маркетплейсов,Yes,2023,Описан,IT,Завершен,CX-Исследование,,,Индивидуальный проект
InAppStory,No,2025,Кейс интенсива КСЦ: пересборка ценностного предложения по ДКЦП,IT,Завершен,"Стратегия, Трансформация",clients,,КСЦ
МТС: Исследование опыта агентов по продажам,Yes,2023,Описывается,Телеком,Завершен,EX-Исследование,,,Индивидуальный проект
МТС: Исследование опыта продуктовых команд,Yes,2023,Описан,IT,Завершен,EX-Исследование,,,Индивидуальный проект
МТС: Этнография в экосистемах,Yes,2023,Описан,IT,Завершен,EX-Исследование,employees,it-vendor,Индивидуальный проект
МТС: Опыт кандидатов продуктового треугольника,Yes,2023,Описан,IT,Завершен,EX-Исследование,employees,"it-vendor, hr-recruiting",Индивидуальный проект
РМК Арена: Опыт гостя,Yes,2023,Описан,Спорт,Завершен,CX-Исследование,,,Индивидуальный проект
Страна Девелопмент: опыт покупки квартир,No,2023,Описан,Девелопмент,Завершен,CX-Исследование,,,Индивидуальный проект
ПИК: Улучшение пути клиента,Yes,2022,Описывается,Девелопмент,Завершен,"CJM, CX-Исследование, Трансформация",,,Индивидуальный проект
Пятёрочка: исследование и проектирование систем сбора обратной связи в розничных магазинах,No,2022,Описывается,Розница,Завершен,"CJM, CX-Исследование",,,Индивидуальный проект
Пятёрочка: исследование опыта директоров магазинов,No,2022,Описывается,Розница,Завершен,EX-Исследование,,,Индивидуальный проект
Пятёрочка: исследование опыта пользователей системы управления задачами,No,2022,Описывается,Розница,Завершен,"EX-Исследование, UX-Исследование",,,Индивидуальный проект
Пятёрочка: разработка идеальной тележки,Yes,2022,Описывается,"FMCG, Grocery, Розница",Завершен,Разработка концепции,,,Индивидуальный проект
Пятёрочка: тестирование эффективности размещение корзинок в торговых залах,No,2022,Описывается,Розница,Завершен,"CX-Исследование, Трансформация",,,Индивидуальный проект
Рольф: исследование опыта покупателей автомобилей сегмента премиум и масс,Yes,2022,Описывается,Продажа автомобилей,Завершен,"CJM, CX-Исследование",,,Индивидуальный проект
EuroPharma: разработка концепции дарксторов,No,2021,Описывается,Grocery,Завершен,Разработка концепции,,,Индивидуальный проект
Мегафон: UX-Исследование Job-портала,No,2021,Описывается,"IT, Телеком",Завершен,"EX-Исследование, UX-Исследование",,,Индивидуальный проект
Пятёрочка: исследование опыта найма у конкурентов,Yes,2021,Описывается,"FMCG, Розница",Завершен,EX-Исследование,,,Индивидуальный проект
Пятёрочка: исследование опыта партнёров,Yes,2021,Описывается,Розница,Завершен,"CJM, CX-Исследование, EX-Исследование",,,Индивидуальный проект
Пятёрочка: исследование опыта пользователей системы управления ресурсами,No,2021,Описывается,Розница,Завершен,EX-Исследование,,,Индивидуальный проект
Пятёрочка: исследование опыта продуктовых команд,No,2021,Описывается,Розница,Завершен,"CJM, EX-Исследование",,,Индивидуальный проект
Пятёрочка: исследование опыта сотрудников логистики,No,2021,Описывается,Розница,Завершен,"CJM, EX-Исследование",,,Индивидуальный проект
Разработка концепции Company Builder,No,2021,Описан,"Консалтинг, Стартапы",Завершен,"Разработка концепции, Стратегия",,,Индивидуальный проект
Сбермаркет: исследование мотивации b2b-клиентов,No,2021,Описывается,"Grocery, Услуги",Завершен,"CX-Исследование, Стратегия",,,Индивидуальный проект
EuroPharma: разработка концепции сети магазинов у дома,No,2020,Описывается,"FMCG, Grocery, Розница",Завершен,"CJM, Разработка концепции",,,Индивидуальный проект
Floris: исследование потребления чая,No,2020,Описывается,"FMCG, Производство",Завершен,CJM,,,Индивидуальный проект
Leroy Merlin: исследование опыта покупателей группы «отделка стен»,No,2020,Описан,"DIY, Розница",Завершен,"CJM, CX-Исследование",,,Индивидуальный проект
Магнит: исследование опыта сотрудников розницы,No,2020,Описывается,"FMCG, Grocery, Розница",Завершен,"CJM, EX-Исследование",,,Индивидуальный проект
Сбермаркет: исследование мотивации b2c-клиентов,No,2020,Описывается,"Grocery, Услуги",Завершен,CX-Исследование,,,Индивидуальный проект
СКБ Контур: разработка концепции для Контур.Бухгалтерии,No,2020,Описывается,IT,Завершен,Разработка концепции,,,Индивидуальный проект
"ФК «Спартак»: исследование опыта болельщиков, фанатов и спортивных функционеров",No,2020,Описывается,Спорт,Завершен,CX-Исследование,,,Индивидуальный проект
Autodesk: исследование опыта покупки САПР,No,2019,Описан,"IT, Производство",Завершен,"CJM, CX-Исследование",,,Индивидуальный проект
DataDarvin: разработка концепции нового продукта,No,2019,Описан,"IT, Маркетинг",Завершен,"CJM, Разработка концепции",,,Индивидуальный проект
NetAngels: исследование опыта клиентов хостинга,No,2019,Описывается,IT,Завершен,CX-Исследование,,,Индивидуальный проект
SDSvet: исследование опыта покупателей световых систем,No,2019,Описывается,"Освещение, Производство",Завершен,CJM,,,Индивидуальный проект
